client,eligible,n_hours,n_test_windows,zero_frac_train,max_flat_run_h,mean,cv,test_std,reason
T62,True,26304,157,0.000109,3,167.6542,0.2962,44.536327,
T63,True,26304,157,0.000109,3,184.6269,0.3259,59.188963,
T64,True,26304,157,0.000109,3,382.7214,0.3106,117.231695,
T65,True,26304,157,0.000109,3,190.6344,0.4598,90.421114,
T66,True,26304,157,0.000109,3,358.8154,0.2549,92.718255,
T67,True,26304,157,0.000109,4,194.0433,0.2752,56.773329,
T68,True,26304,157,0.000109,4,243.5259,0.3043,68.362656,
T69,True,26304,157,0.000109,5,143.5463,0.4243,64.948101,
T70,True,26304,157,0.000109,3,163.003,0.2687,37.107838,
T71,True,26304,157,0.000109,4,131.8094,0.4616,56.647971,
T72,True,26304,157,0.000109,4,59.7335,0.4039,23.833925,
T73,True,26304,157,0.000109,3,400.5637,0.3161,122.00452,
T74,True,26304,157,0.000109,3,180.0953,0.2439,40.31643,
T75,True,26304,157,0.000109,4,288.3465,0.2941,80.592333,
T76,True,26304,157,0.000109,4,885.8614,0.4268,441.757644,
T77,True,26304,157,0.000109,3,498.1341,0.2642,120.110994,
T78,True,26304,157,0.000109,4,1762.9786,0.3449,612.589491,
T79,True,26304,157,0.000109,3,463.7557,0.3446,149.818076,
T80,True,26304,157,0.000109,3,510.3541,0.4319,269.289811,
T81,True,26304,157,0.000109,3,779.9348,0.3359,250.07153,
T82,True,26304,157,0.000109,9,518.0554,0.658,382.415651,
T83,True,26304,157,5.4e-05,3,555.6201,0.2671,116.1627,
T84,True,26304,157,0.0,8,106.85,2.2226,307.943802,
T85,True,26304,157,0.0,7,105.5891,1.0635,119.467611,
T86,True,26304,157,0.0,25,70.0635,0.8868,47.416038,
T87,True,26304,157,0.0,5,45.7254,0.5279,22.08294,
T88,True,26304,157,0.0,4,752.7907,0.5893,478.863763,
T89,True,26304,157,0.0,2,2727.2829,0.6285,1751.510998,
T90,True,26304,157,0.0,2,4681.3273,0.6608,3381.561073,
T91,True,26304,157,0.0,5,237.1286,0.8351,191.200757,
T92,True,26304,157,5.4e-05,2,2797.8326,0.65,1563.715427,
T93,True,26304,157,0.0,2,3501.1756,0.4854,1953.826277,
T94,True,26304,157,0.0,2,4498.8849,0.5672,2556.699431,
T95,True,26304,157,0.0,4,2271.1261,0.6729,1478.739119,
T96,True,26304,157,0.0,4,874.7659,0.692,645.710046,
T97,True,26304,157,0.000109,5,1241.411,0.378,553.478882,
T98,True,26304,157,0.000109,3,391.8239,0.4326,182.829366,
T99,True,26304,157,0.000109,3,323.1846,0.3257,124.352387,
T100,True,26304,157,0.000109,23,250.2086,0.4027,109.277244,
T101,True,26304,157,5.4e-05,3,1121.1328,0.4468,527.654533,
T102,True,26304,157,0.000109,3,155.1713,0.5054,82.609095,
T103,True,26304,157,0.000109,3,237.258,0.3263,78.611046,
T104,True,26304,157,0.000109,2,1198.4965,0.5203,599.847055,
T105,True,26304,157,0.0,4,446.8758,0.3841,167.936391,
T106,False,26304,157,0.538666,17,171.4589,1.369,233.705665,нулей в train 53.867% > 1.0%
T107,False,26304,157,0.434181,1230,210.7172,1.3027,239.328578,нулей в train 43.418% > 1.0%; плоский прогон 1230 ч > 48 ч
T108,False,26304,157,0.521288,117,60.0778,1.0857,62.766114,нулей в train 52.129% > 1.0%; плоский прогон 117 ч > 48 ч
T109,True,26304,157,0.000109,7,131.3549,0.4748,68.655931,
T110,True,26304,157,0.000109,23,535.4266,0.5433,327.070577,
T111,True,26304,157,0.000109,8,285.4892,0.4078,122.304707,
T112,True,26304,157,0.000109,4,457.763,0.3596,156.350343,
T113,True,26304,157,0.000109,3,1572.8412,0.3323,483.092435,
T114,True,26304,157,0.000109,13,260.5341,0.9406,214.312741,
T115,True,26304,157,0.000109,34,38.4216,0.4701,13.32205,
T116,True,26304,157,0.000109,34,224.3035,0.7424,189.033497,
T117,True,26304,157,0.000434,23,680.5409,0.3755,278.177015,
T118,True,26304,157,0.000109,6,311.3633,0.0793,25.424848,
T119,False,26304,157,0.008852,160,335.8518,0.1252,25.349136,плоский прогон 160 ч > 48 ч
T120,True,26304,157,0.000109,3,10938.3412,0.0944,798.509983,
T121,True,26304,157,0.000109,4,1374.7524,0.0766,84.53094,
T122,True,26304,157,0.000217,8,95.9872,0.089,5.991881,
T123,False,26304,157,0.000109,51,111.9843,0.1523,11.253214,плоский прогон 51 ч > 48 ч
T124,True,26304,157,0.000217,23,397.3209,0.473,222.592883,
T125,True,26304,157,0.000163,4,737.328,0.392,200.440447,
T126,True,26304,157,0.000272,10,135.4553,0.1565,18.973911,
T127,True,26304,157,0.000109,11,593.329,0.6136,386.842754,
T128,False,26304,157,0.0,719,311.3645,0.4104,118.451125,плоский прогон 719 ч > 48 ч
T129,True,26304,157,0.000272,2,8747.7742,0.2737,1790.359513,
T130,True,26304,157,0.0,5,284.971,0.6856,168.377108,
T131,True,26304,157,0.0,5,203.5554,0.7787,152.92025,
T132,True,26304,157,0.000163,4,6619.1423,0.2073,747.958257,
T133,True,26304,157,0.000272,3,1111.8073,0.5068,554.865667,
T134,True,26304,157,0.000109,2,9352.9853,0.1477,1016.026832,
T135,True,26304,157,0.000163,3,425.4824,0.6383,256.002533,
T136,True,26304,157,0.0,3,5041.799,0.2935,1412.588021,
T137,True,26304,157,0.0,3,541.196,0.3083,157.3054,
T138,True,26304,157,0.0,4,160.9536,0.2715,44.227601,
T139,True,26304,157,0.0,3,960.8505,0.2444,231.846304,
T140,True,26304,157,0.0,4,486.0173,0.3126,144.429959,
T141,True,26304,157,0.0,23,606.1354,0.3012,194.115114,
T142,True,26304,157,0.0,23,644.4279,0.3597,237.034533,
T143,True,26304,157,0.0,3,337.8759,0.3284,113.026509,
T144,True,26304,157,0.0,3,614.8458,0.2884,181.422489,
T145,True,26304,157,0.0,3,205.7725,0.288,59.139983,
T146,True,26304,157,0.0,3,335.7244,0.3615,104.2119,
T147,True,26304,157,0.000109,30,255.8656,0.7288,117.114246,
T148,True,26304,157,0.0,23,147.5511,0.3165,45.763418,
T149,True,26304,157,0.000109,2,1623.4492,0.2806,428.473229,
T150,True,26304,157,0.000109,3,1498.6385,0.2696,339.615109,
T151,True,26304,157,0.000163,2,7695.0012,0.2587,2024.825596,
T152,True,26304,157,0.000163,2,1847.0059,0.2932,477.753749,
T153,True,26304,157,0.000163,3,1128.393,0.2789,304.010343,
T154,True,26304,157,0.000163,2,9728.9678,0.2972,2768.664445,
T155,True,26304,157,0.000163,3,1746.779,0.3266,506.463858,
T156,True,26304,157,0.000163,3,78701.089,0.3296,25976.256075,
T157,True,26304,157,0.000109,3,628.7225,0.322,222.959343,
T158,True,26304,157,0.000163,2,931.3941,0.3714,356.656104,
T159,True,26304,157,0.000109,2,1751.1403,0.3827,702.110748,
T160,True,26304,157,0.000109,2,3269.0494,0.3191,957.0677,
T161,True,26304,157,0.000272,3,1161.9199,0.2964,325.958154,
T162,True,26304,157,0.000109,3,931.2603,0.2865,270.879481,
T163,True,26304,157,0.000109,23,2091.7091,0.3286,772.824175,
T164,True,26304,157,0.000109,2,3494.4105,0.3047,1111.275815,
T165,True,26304,157,0.000109,23,2085.6047,0.2617,534.355909,
T166,True,26304,157,0.000109,3,810.5753,0.3278,273.125298,
T167,True,26304,157,0.000109,2,3418.0575,0.3232,1158.782994,
T168,True,26304,157,0.000163,2,25457.7941,0.2851,7638.009912,
T169,True,26304,157,0.000109,3,2336.3153,0.3082,548.964702,
T170,True,26304,157,0.000109,2,2838.1006,0.258,689.076632,
T171,True,26304,157,0.000163,3,753.7585,0.3029,238.899749,
T172,True,26304,157,0.000109,4,1425.5159,0.2977,406.983009,
T173,True,26304,157,0.000109,7,4433.1612,0.2445,1137.363856,
T174,True,26304,157,0.000109,2,1550.1439,0.3606,594.88153,
T175,True,26304,157,0.000109,3,1574.5951,0.2762,345.10043,
T176,True,26304,157,0.000217,2,8502.1461,0.343,2969.884645,
T177,True,26304,157,0.000163,3,829.5065,0.4015,360.940106,
T178,True,26304,157,0.000163,2,5042.7728,0.2927,1489.485655,
T179,True,26304,157,0.000923,15,2125.8115,0.3683,806.490686,
T180,True,26304,157,0.000109,2,11524.4008,0.4051,4288.430291,
T181,True,26304,157,0.000109,3,621.0915,0.3525,211.287036,
T182,True,26304,157,0.000109,2,3714.1494,0.359,1338.702026,
T183,False,26304,157,0.653036,19914,721.9472,1.8539,0.0,нулей в train 65.304% > 1.0%; плоский прогон 19914 ч > 48 ч; нулевая дисперсия в test
T184,True,26304,157,0.0,2,1299.7188,0.3118,375.617316,
T185,True,26304,157,0.000434,4,1866.5462,0.2454,536.486637,
T186,True,26304,157,0.000109,2,1049.3899,0.3578,323.670162,
T187,True,26304,157,0.000109,3,22692.1189,0.3421,7078.463408,
T188,True,26304,157,0.000109,23,3734.3454,0.2862,981.912969,
T189,True,26304,157,0.000109,3,388.1957,0.3021,125.22087,
T190,True,26304,157,0.0,3,2500.2039,0.3395,887.256805,
T191,True,26304,157,0.0,4,330.905,0.3666,102.581987,
T192,True,26304,157,0.0,3,539.0386,0.3762,189.006472,
T193,True,26304,157,0.0,3,344.2585,0.3237,108.471799,
T194,True,26304,157,0.0,3,3083.0744,0.3489,992.934523,
T195,True,26304,157,0.0,23,582.3337,0.2901,162.353267,
T196,True,26304,157,0.0,4,343.0969,0.2842,91.007804,
T197,True,26304,157,0.0,2,1612.1584,0.2329,361.245753,
T198,True,26304,157,0.0,3,464.3284,0.2752,104.973174,
T199,True,26304,157,0.0,2,1423.5533,0.3214,434.639229,
T200,True,26304,157,0.000109,3,10326.1773,0.2865,3143.580729,
T201,True,26304,157,0.0,3,770.8552,0.2859,216.967562,
T202,True,26304,157,0.000109,3,503.8741,0.3425,178.730978,
T203,True,26304,157,0.0,3,615.4223,0.3179,188.537117,
T204,True,26304,157,0.0,3,780.454,0.2367,192.275697,
T205,True,26304,157,0.0,23,2364.7462,0.3001,795.441467,
T206,True,26304,157,0.000109,3,1860.405,0.3723,631.196994,
T207,True,26304,157,0.0,3,624.4168,0.3309,194.304035,
T208,True,26304,157,0.0,31,283.1809,0.3617,86.344166,
T209,True,26304,157,0.0,3,368.006,0.2829,87.488831,
T210,True,26304,157,0.0,3,309.2044,0.2858,81.716888,
T211,True,26304,157,0.0,3,891.6844,0.3326,295.850905,
T212,True,26304,157,0.0,2,1283.1331,0.3602,443.068259,
T213,True,26304,157,0.0,3,972.1066,0.3067,323.739105,
T214,True,26304,157,0.0,4,569.8969,0.301,152.71707,
T215,True,26304,157,0.0,3,602.981,0.282,160.969294,
T216,True,26304,157,0.0,4,482.3837,0.3035,149.488664,
T217,True,26304,157,0.0,3,615.6272,0.2127,123.814622,
T218,True,26304,157,0.0,3,696.65,0.3833,256.905233,
T219,True,26304,157,0.0,3,230.7855,0.3692,79.152218,
T220,True,26304,157,0.0,3,766.5426,0.2575,175.954684,
T221,True,26304,157,0.0,3,746.4053,0.3701,257.682347,
T222,True,26304,157,0.0,3,758.4853,0.3368,274.850502,
T223,True,26304,157,0.0,3,685.1896,0.2822,185.071432,
T224,True,26304,157,0.0,3,1104.111,0.2688,286.286826,
T225,True,26304,157,0.000109,23,272.1147,0.3511,83.010729,
T226,True,26304,157,0.0,13,941.8357,0.334,240.862723,
T227,True,26304,157,0.0,3,3090.3864,0.2776,900.034547,
T228,True,26304,157,0.0,5,270.3041,0.3371,82.134981,
T229,True,26304,157,0.0,3,587.2453,0.2676,154.573023,
T230,True,26304,157,0.000109,3,607.6251,0.2566,146.919354,
T231,True,26304,157,0.000109,3,1956.002,0.313,596.397729,
T232,True,26304,157,0.000109,3,1291.808,0.2419,276.537411,
T233,True,26304,157,0.0,3,519.925,0.2623,134.24091,
T234,True,26304,157,0.0,2,7680.3657,0.3482,2673.621707,
T235,True,26304,157,0.0,4,358.311,0.3052,105.590305,
T236,True,26304,157,0.0,4,357.544,0.3025,100.804474,
T237,True,26304,157,0.0,23,46173.4268,0.2492,10326.161278,
T238,True,26304,157,0.0,3,1137.4402,0.3479,394.198914,
T239,True,26304,157,0.0,3,476.9603,0.2388,97.868535,
T240,True,26304,157,0.0,23,447.0415,0.2517,78.929428,
T241,True,26304,157,0.0,3,1069.5403,0.2204,232.124088,
T242,True,26304,157,0.0,4,277.9883,0.3358,85.836256,
T243,True,26304,157,0.0,3,389.3214,0.3212,125.11954,
T244,True,26304,157,0.0,3,470.409,0.3462,156.924558,
T245,True,26304,157,0.0,3,611.8772,0.2915,163.763689,
T246,False,26304,157,0.0,246,398.7172,0.5108,283.700917,плоский прогон 246 ч > 48 ч
T247,True,26304,157,0.0,3,2275.4596,0.3304,507.066372,
T248,True,26304,157,0.000109,5,338.5774,0.3279,93.649994,
T249,True,26304,157,0.0,23,1039.351,0.2384,241.988667,
T250,True,26304,157,0.0,3,376.6783,0.348,133.994058,
T251,True,26304,157,0.0,3,2472.6742,0.2928,665.770307,
T252,True,26304,157,0.0,3,1043.7042,0.2958,289.334562,
T253,True,26304,157,0.0,3,370.6037,0.2652,83.823019,
T254,True,26304,157,0.0,3,591.9504,0.3112,198.052385,
T255,True,26304,157,0.0,3,3725.8629,0.2662,958.711106,
T256,True,26304,157,0.0,3,1884.9676,0.2558,496.058154,
T257,True,26304,157,0.0,3,512.9537,0.2601,140.122446,
T258,True,26304,157,0.0,3,457.2029,0.3086,138.444254,
T259,True,26304,157,0.0,3,484.8177,0.2799,122.752768,
T260,True,26304,157,0.0,3,596.2131,0.2958,184.689515,
T261,True,26304,157,0.0,4,271.2038,0.3265,78.314421,
T262,True,26304,157,0.0,3,311.3,0.34,100.967857,
T263,True,26304,157,0.0,3,3058.2811,0.3374,1003.132126,
T264,True,26304,157,0.0,3,874.3755,0.2518,221.189995,
T265,True,26304,157,0.0,2,2343.3242,0.2839,584.238701,
T266,True,26304,157,0.0,3,505.799,0.2774,139.093921,
T267,True,26304,157,0.0,3,1457.0812,0.3653,491.738536,
T268,True,26304,157,0.0,23,925.865,0.3238,313.077911,
T269,True,26304,157,0.000109,4,4272.1585,0.2864,1441.116159,
T270,True,26304,157,0.0,3,348.1806,0.2748,88.401118,
T271,True,26304,157,0.0,3,1421.9373,0.3351,453.2786,
T272,True,26304,157,0.0,3,2071.5947,0.3677,796.944573,
T273,True,26304,157,0.0,3,672.5266,0.3348,223.90553,
T274,True,26304,157,0.0,3,382.6688,0.3034,109.740808,
T275,True,26304,157,0.0,3,411.2424,0.2728,131.284204,
T276,True,26304,157,0.0,7,443.3369,0.3036,132.09231,
T277,True,26304,157,0.0,3,6948.66,0.3462,2378.548955,
T278,True,26304,157,0.0,3,1312.8336,0.2632,341.551133,
T279,True,26304,157,0.000109,2,1214.787,0.3117,368.664506,
T280,True,26304,157,0.0,3,961.4683,0.3281,318.616627,
T281,True,26304,157,0.0,3,2163.8874,0.3206,650.407903,
T282,True,26304,157,0.000109,3,4809.1736,0.3603,1694.341496,
T283,True,26304,157,0.0,3,824.1002,0.2567,215.062992,
T284,True,26304,157,0.0,3,382.3921,0.376,143.193203,
T285,True,26304,157,0.000543,4,839.1122,0.3454,247.226332,
T286,True,26304,157,0.000109,23,341.8458,0.3857,134.864629,
T287,True,26304,157,0.000109,23,327.2551,0.6012,196.955652,
T288,True,26304,157,0.000109,23,295.233,0.6657,208.900029,
T289,True,26304,157,0.000217,23,648.903,0.438,303.62515,
T290,True,26304,157,0.000109,23,981.201,0.4068,417.223667,
T291,True,26304,157,0.000109,2,13026.7653,0.5612,7787.071896,
T292,True,26304,157,0.00114,6,537.0253,0.6206,359.296744,
T293,True,26304,157,0.000978,6,4156.6899,0.5049,2125.659257,
T294,True,26304,157,0.000217,3,1090.2629,0.5809,636.610148,
T295,True,26304,157,0.000109,5,608.3545,0.8281,542.417617,
T296,True,26304,157,0.000272,4,697.1025,0.679,501.934939,
T297,True,26304,157,0.000326,5,8351.9159,0.4118,3081.217729,
T298,True,26304,157,0.000326,23,1148.4639,0.4577,509.222621,
T299,False,26304,157,0.722059,10760,10.6274,1.4838,12.608089,нулей в train 72.206% > 1.0%; плоский прогон 10760 ч > 48 ч
T300,False,26304,157,0.445639,28,70.1933,1.2019,48.439573,нулей в train 44.564% > 1.0%
T301,True,26304,157,0.000815,5,770.0033,0.6181,527.762075,
T302,True,26304,157,0.000217,6,2584.7973,0.7536,1672.48604,
T303,True,26304,157,0.000217,4,6562.7031,0.5796,3994.617525,
T304,True,26304,157,0.000163,5,413.5036,0.9216,341.403608,
T305,True,26304,157,0.000163,3,2088.2076,0.3569,740.201307,
T306,True,26304,157,0.000272,7,483.6033,0.782,403.205307,
T307,True,26304,157,0.001303,5,2642.7769,0.5869,1635.643575,
T308,True,26304,157,0.000163,7,440.394,1.0053,468.37648,
T309,True,26304,157,0.000489,3,7514.2434,0.5698,4537.306631,
T310,True,26304,157,0.000109,3,3228.5039,0.6491,2082.390421,
T311,True,26304,157,0.000163,5,436.7472,0.7231,190.244447,
T312,True,26304,157,0.000326,2,2072.0316,0.5846,1220.035757,
T313,True,26304,157,5.4e-05,3,1165.5389,0.6315,833.864538,
T314,True,26304,157,0.00038,4,200529.1248,0.7283,163356.068064,
T315,True,26304,157,0.000217,2,10065.9185,0.6526,6070.581389,
T316,True,26304,157,0.000489,5,15678.3712,0.6211,10135.994281,
T317,True,26304,157,0.000109,9,350.7021,0.6879,221.862059,
T318,True,26304,157,0.000326,8,51.4903,0.723,37.498289,
T319,True,26304,157,0.000489,4,2264.1886,0.2408,445.025609,
T320,True,26304,157,0.000163,4,507.0089,0.5275,274.079297,
T321,True,26304,157,0.000109,2,3335.8837,0.1657,556.848967,
